match_id,team_id,kicker_id,gk_id,gk,kicker
2578265,762,29434,99397,Karl Darlow,Yohan Cabaye
2872408,29,3332,128969,Mathew Ryan,Wayne Rooney
3050179,603,281404,61694,Neil Etheridge,Kenedy
2698313,989,91059,51321,Darren Randolph,Joshua King
2698313,989,110858,51321,Darren Randolph,Benik Afobe
3219264,1132,197838,192080,Nick Pope,Jamie Vardy
2698234,1010,50201,19059,Heurelho Gomes,Christian Benteke
3219236,350,363205,258919,Dean Henderson,Gabriel Jesus
2698134,281,88755,4311,Maarten Stekelenburg,Kevin De Bruyne
2698134,281,26399,4311,Maarten Stekelenburg,Sergio Agüero
2698133,873,50201,71271,Adrián,Christian Benteke
2872406,11,65477,5658,Petr Cech,Troy Deeney
2578250,989,37171,15220,Artur Boruc,Craig Gardner
